RollNo,DS-TH,FDSA-TH,OOP-TH,LDCO-TH,DS-PR,LDCO-PR,DE-PR,BCS-PR,Total
22101,75,52,76,92,31,42,44,42,454
22102,70,89,87,69,35,31,48,37,466
22103,92,72,99,56,41,34,30,31,455
22104,77,55,96,63,32,31,44,45,443
22105,88,57,54,53,47,33,32,47,411
22106,76,93,55,56,47,46,35,31,439
22107,88,68,83,69,32,38,31,43,452
22108,50,83,68,67,42,41,32,46,429
22109,77,85,69,87,35,38,39,31,461
22110,78,78,77,59,32,45,45,45,459
22111,59,74,67,97,36,41,49,44,467
22112,91,63,72,99,32,47,37,38,479
22113,79,53,69,67,44,36,35,43,426
22114,90,91,62,67,37,34,48,44,473
22115,57,67,55,81,43,46,39,36,424
22116,64,59,94,63,44,37,33,40,434
22117,75,56,81,71,31,43,39,43,439
22118,84,52,99,78,39,31,33,33,449
22119,97,68,79,82,30,32,32,41,461
22120,91,67,98,63,45,48,38,48,498
22121,87,84,63,78,37,31,33,46,459
22122,79,78,70,81,31,38,39,48,464
22123,82,50,63,72,41,40,41,31,420
22124,54,58,60,51,38,45,35,43,384
22125,67,72,72,85,41,34,31,41,443
22126,83,67,60,60,38,43,36,46,433
22127,79,80,79,82,42,48,47,40,497
22128,62,75,57,74,44,47,38,33,430
22129,74,61,50,97,30,33,45,49,439
22130,54,86,98,67,37,43,34,35,454
22131,59,77,78,68,49,32,46,35,444
22132,96,81,69,66,43,34,39,43,471
22133,82,77,83,63,37,50,43,35,470
22134,81,76,100,95,43,35,39,31,500
22135,64,90,73,83,43,48,31,42,474
22136,56,53,75,72,50,50,31,48,435
22137,68,100,60,87,39,34,39,37,464
22138,73,85,70,58,33,47,30,32,428
22139,75,81,86,67,46,41,41,49,486
22140,51,76,53,68,45,50,42,30,415
22141,99,99,98,60,48,41,48,41,534
22142,82,84,74,67,37,32,31,38,445
22143,78,93,96,90,46,49,39,31,522
22144,99,63,72,75,50,32,45,37,473
22145,94,79,79,75,35,48,40,31,481
22146,66,89,85,53,48,45,45,49,480
22147,53,56,100,78,50,50,34,47,468
22148,63,79,66,86,42,36,44,48,464
22149,73,58,91,100,49,36,30,35,472
22150,88,54,84,58,36,36,48,30,434
22151,64,55,100,63,50,47,35,48,462
22152,69,56,67,64,30,48,36,46,416
22153,51,65,99,84,37,31,50,47,464
22154,51,65,90,73,33,38,38,43,431
22155,78,66,83,84,38,31,37,43,460
22156,78,81,99,71,38,38,42,44,491
22157,81,72,72,80,40,37,30,38,450
22158,91,59,79,87,48,41,47,41,493
22159,78,51,71,71,48,41,37,36,433
22160,72,90,72,68,40,36,36,37,451
22161,72,90,53,73,44,34,49,42,457
22162,57,60,81,82,45,40,36,43,444
22163,87,56,98,55,40,32,47,38,453
22164,59,71,56,84,47,36,31,46,430
22165,50,56,97,61,45,48,39,30,426
22166,54,69,94,89,49,46,31,38,470
22167,97,87,59,91,39,48,37,32,490
22168,75,56,60,54,38,39,30,40,392
22169,51,77,53,77,50,39,47,34,428
22170,71,82,66,69,37,33,35,46,439
22171,81,82,53,95,35,40,48,35,469
22172,99,92,79,51,47,33,50,34,485
22173,99,68,100,63,38,47,37,50,502
22174,98,90,76,64,38,45,40,33,484
22175,63,75,79,82,49,46,50,41,485
22176,69,64,59,64,49,41,38,49,433
22177,90,55,50,50,43,33,48,41,410
22178,87,66,67,100,33,46,31,30,460
22179,98,88,99,85,42,49,31,34,526
22180,97,56,85,58,47,47,31,38,459
