RollNo,M3-TH,DSA-TH,SE-TH,PSDL-TH,DSA-PR,PBL-PR,Total
22201,79,62,63,81,ff,55,340
22202,97,86,44,83,ff,55,365
22203,45,74,53,44,45,45,306
22204,91,86,100,47,47,49,420
22205,48,65,41,73,50,44,321
22206,64,97,61,65,48,49,384
22207,75,73,67,66,45,44,370
22208,76,98,50,87,44,44,399
22209,88,61,58,44,41,42,334
22210,85,53,84,73,44,49,388
22211,78,88,73,91,47,47,424
22212,74,71,97,69,43,41,395
22213,62,94,78,56,47,50,387
22214,100,81,97,79,44,44,445
22215,46,58,53,88,42,43,330
22216,66,80,50,87,40,48,371
22217,83,60,50,60,47,44,344
22218,94,40,91,74,41,48,388
22219,88,55,83,40,44,43,353
22220,67,86,41,99,41,49,383
22221,75,86,79,40,48,50,378
22222,90,81,67,43,40,48,369
22223,57,74,92,49,46,45,363
22224,68,78,100,46,48,41,381
22225,77,80,92,83,40,44,416
22226,90,85,45,66,44,41,371
22227,77,53,79,100,43,41,393
22228,75,69,76,87,47,48,402
22229,61,90,76,47,43,50,367
22230,52,78,76,43,46,47,342
22231,89,54,79,44,42,50,358
22232,96,65,85,94,49,44,433
22233,79,40,86,49,46,46,346
22234,88,53,70,72,40,43,366
22235,92,79,93,89,41,40,434
22236,69,95,85,76,47,43,415
22237,60,42,82,73,43,40,340
22238,71,44,85,40,45,42,327
22239,67,47,77,93,46,40,370
22240,68,61,92,89,46,43,399
22241,70,90,88,96,40,41,425
22242,67,84,79,90,43,41,404
22243,73,50,94,67,47,42,373
22244,80,58,62,57,42,44,343
22245,47,40,69,93,47,47,343
22246,86,84,95,52,40,40,397
22247,71,73,62,79,49,43,377
22248,46,72,41,99,44,45,347
22249,94,79,69,90,48,49,429
22250,63,100,95,85,45,46,434
22251,68,50,95,79,40,41,373
22252,76,88,44,92,43,46,389
22253,89,63,56,62,45,49,364
22254,61,55,73,58,46,40,333
22255,62,44,83,91,45,45,370
22256,48,75,100,68,47,50,388
22257,79,100,94,62,50,42,427
22258,76,66,64,93,42,41,382
22259,80,84,45,57,49,43,358
22260,40,61,93,72,49,49,364
22261,71,96,67,66,40,42,382
22262,45,72,52,41,48,44,302
22263,76,90,88,83,48,41,426
22264,87,88,91,75,42,46,429
22265,55,74,57,40,43,45,314
22266,58,84,46,73,45,45,351
22267,45,42,64,69,47,45,312
22268,68,49,96,65,44,41,363
22269,58,83,49,96,49,46,381
22270,57,49,40,70,49,43,308
22271,99,81,45,91,40,44,400
22272,41,85,77,52,42,44,341
22273,91,64,58,71,44,47,375
22274,94,73,56,49,46,42,360
22275,45,75,88,82,46,41,377
22276,54,48,65,87,45,50,349
22277,51,73,47,85,42,44,342
22278,84,83,63,83,40,46,399
22279,63,60,50,45,50,41,309
22280,46,78,87,87,40,50,388
