RollNo,CNS-TH,DS&BDA-TH,WAD-TH,CC-TH,INTERNSHIP,CNSL-TW,CNSL-OR,DS&BDA TW,DS&BDA-PR,LP2- TW,LP2- PR,Total
33301,86,54,89,56,47,21,39,25,21,23,42,503
33302,87,60,77,60,73,21,37,20,17,21,44,517
33303,63,79,50,58,57,20,36,23,15,24,38,463
33304,49,63,65,51,59,22,40,20,23,22,45,459
33305,62,43,82,53,96,21,37,21,21,21,35,492
33306,52,70,80,86,56,20,44,23,19,24,38,512
33307,46,63,58,73,99,20,40,22,21,20,30,492
33308,77,60,72,68,80,22,36,20,13,20,34,502
33309,84,76,59,57,89,20,35,22,14,22,30,508
33310,47,52,82,73,79,22,42,23,17,21,35,493
33311,63,50,84,62,91,22,35,23,20,24,32,506
33313,89,57,75,71,78,24,44,22,13,20,40,533
33314,53,55,52,67,69,21,41,22,22,24,45,471
33315,54,67,68,50,65,21,44,20,21,22,43,475
33316,72,46,51,67,98,23,37,21,15,20,44,494
33317,83,63,79,0,55,23,40,20,22,20,45,450
33318,76,51,61,63,69,20,40,23,20,23,35,481
33319,80,74,53,70,81,23,43,22,17,22,35,520
33320,65,57,51,71,85,21,36,22,14,23,32,477
33321,47,72,59,84,88,22,40,23,22,21,30,508
33322,90,73,54,62,57,21,46,20,23,20,41,507
33323,64,56,54,53,86,24,0,23,23,23,38,444
33324,86,42,62,76,85,21,46,20,18,20,30,506
33325,45,71,66,69,74,24,44,21,14,22,34,484
33326,51,64,70,76,77,20,40,21,18,21,31,489
33327,46,72,82,86,78,24,40,20,22,20,42,532
33328,47,59,65,57,64,22,36,21,21,21,44,457
33329,61,75,65,73,70,22,43,23,19,24,42,517
33330,81,61,80,77,89,20,39,23,19,23,33,545
33331,69,52,86,55,80,24,35,23,15,20,45,504
33332,48,49,86,86,71,24,47,21,20,24,31,507
33333,64,62,71,63,87,23,40,20,19,20,39,508
33334,46,71,80,70,76,21,46,21,19,21,45,516
33335,86,78,74,73,95,22,36,20,15,24,36,559
33336,78,47,79,50,82,24,37,20,21,23,34,495
33337,82,55,60,87,69,20,37,21,15,23,43,512
33338,80,59,73,66,77,22,46,21,22,20,41,527
33339,80,48,57,78,78,21,37,22,18,22,42,503
33340,66,54,70,54,68,24,41,21,13,23,44,478
33341,66,77,50,69,55,20,0,21,17,22,42,439
33342,48,45,63,64,98,22,47,22,17,23,42,491
33343,81,57,71,74,82,23,43,21,16,20,43,531
33344,72,65,74,83,78,20,46,21,23,24,42,548
33345,63,48,0,62,64,20,36,22,23,22,34,394
33346,61,50,56,85,91,21,46,22,19,21,31,503
33347,50,55,55,66,65,24,42,23,21,21,38,460
33348,60,66,76,65,78,21,35,20,16,23,42,502
33349,87,48,68,65,88,21,44,22,15,23,32,513
33350,56,66,68,57,64,24,37,23,16,24,32,467
33351,83,49,58,70,68,21,47,21,18,20,45,500
33352,52,46,61,52,56,22,43,23,22,22,31,430
33353,57,55,55,82,74,22,35,22,22,22,37,483
33354,83,46,55,78,82,20,45,22,21,21,33,506
33355,83,73,53,73,71,21,37,20,23,22,32,508
33356,45,70,89,81,72,23,36,23,13,24,43,519
33357,56,62,81,79,67,22,40,20,15,24,44,510
33358,46,68,53,62,59,20,43,21,19,21,43,455
33359,64,61,72,74,86,20,47,21,20,22,45,532
33360,50,76,50,51,68,23,42,21,17,23,41,462
33361,62,50,81,73,100,23,47,21,18,20,32,527
33362,67,51,79,71,66,23,36,21,20,20,32,486
33363,50,46,69,68,92,22,35,23,15,21,33,474
33364,47,67,86,68,73,22,41,21,19,21,43,508
33365,60,73,76,81,88,20,43,21,23,23,33,541
33366,75,70,70,74,77,23,46,22,14,21,41,533
33367,76,51,62,53,59,21,35,20,20,20,38,455
33368,55,78,71,85,72,24,42,20,23,23,40,533
33369,58,73,63,87,65,21,40,21,16,20,41,505
33370,65,43,61,73,64,24,37,23,15,24,30,459
33371,67,65,76,79,99,24,39,20,13,24,43,549
33372,50,47,54,50,90,21,47,22,20,24,31,456
33373,55,43,86,82,98,24,41,21,20,23,38,531
33374,57,61,71,61,94,21,41,22,13,22,37,500
33375,76,74,74,86,92,20,45,20,22,21,37,567
33376,65,52,0,71,61,24,47,22,16,22,43,423
33377,56,46,77,55,84,21,39,20,18,21,36,473
33378,79,43,61,66,75,20,46,23,14,20,37,484
33379,71,46,51,86,97,20,47,20,16,23,42,519
33380,70,59,67,62,87,24,43,20,17,21,38,508
33381,72,67,72,71,72,21,43,23,14,24,37,516
33382,0,48,71,80,56,21,35,21,18,22,38,410
33383,90,64,84,65,86,20,43,21,22,23,43,561
