RollNo,DS-TH,NLP-TH,BT-TH,S&En - TW,LP5-TW,LP5-PR,LP6-TW,LP6-OR,Total
43201,41,85,50,36,35,21,20,47,335
43202,56,48,76,44,36,19,22,45,346
43203,63,58,47,43,35,24,18,46,334
43204,46,79,62,48,36,19,24,48,362
43205,81,47,52,35,35,19,19,43,331
43206,69,74,78,40,37,20,20,40,378
43207,73,85,71,41,47,21,22,43,403
43208,57,51,91,46,50,22,25,46,388
43209,81,73,70,43,38,21,18,45,389
43210,0,77,92,0,50,18,24,49,310
43211,65,56,82,47,43,20,22,37,372
43212,55,59,73,46,46,21,18,49,367
43213,84,61,88,43,46,19,21,49,411
43214,74,83,81,37,36,20,25,44,400
43215,81,95,78,39,44,24,18,48,427
43216,84,87,61,47,46,21,22,44,412
43217,65,60,0,45,46,20,24,42,302
43218,40,75,56,41,37,18,22,44,333
43219,51,63,66,41,43,21,18,36,339
43220,79,60,92,37,50,21,19,45,403
43221,48,71,64,39,44,23,19,36,344
43222,45,94,70,44,49,20,21,46,389
43223,78,47,0,35,39,23,21,40,283
43224,45,73,52,38,42,18,21,48,337
43225,49,58,79,44,42,20,20,46,358
43226,46,95,80,38,39,21,23,46,388
43227,0,52,92,43,36,19,20,47,309
43228,53,86,66,47,35,24,22,45,378
43229,66,93,78,44,41,19,19,45,405
43230,49,92,62,48,43,24,23,41,382
43231,49,93,83,35,44,22,22,48,396
43232,85,74,48,44,44,21,21,43,380
43233,48,59,67,40,35,24,23,36,332
43234,40,84,58,48,45,22,22,49,368
43235,72,95,90,42,43,18,25,45,430
43236,82,60,59,37,50,18,24,42,372
43237,70,79,58,35,49,19,22,35,367
43238,63,90,72,41,37,22,25,36,386
43239,45,46,79,48,36,20,18,38,330
43240,73,60,56,46,40,19,24,42,360
43241,78,86,90,39,35,19,20,47,414
43242,63,0,47,44,42,24,18,38,276
43243,44,82,48,46,48,23,19,42,352
43244,45,81,89,37,46,18,25,43,384
43245,63,73,69,36,40,20,19,44,364
43246,83,49,50,43,40,20,21,38,344
43247,50,49,48,37,36,20,18,46,304
43248,56,76,85,48,37,18,18,36,374
43249,59,59,82,35,42,24,23,40,364
43250,42,48,54,42,44,22,19,37,308
43251,41,72,52,45,48,23,22,41,344
43252,83,47,82,40,37,19,19,39,366
43253,72,46,74,40,50,23,18,37,360
43254,58,52,83,40,43,18,19,44,357
43255,60,93,93,42,49,20,23,38,418
43256,53,62,77,43,38,21,24,49,367
43257,60,63,88,38,44,19,18,41,371
43258,51,53,56,38,48,24,25,36,331
43259,55,80,70,46,45,20,20,41,377
43260,70,93,48,36,44,22,22,39,374
43261,77,82,89,35,37,21,19,43,403
43262,64,86,56,44,35,23,18,43,369
43263,62,53,92,36,45,23,22,45,378
43264,53,78,63,38,48,21,19,35,355
43265,0,69,62,45,35,18,22,47,298
43266,49,78,57,35,49,19,18,44,349
43267,85,81,79,39,35,21,22,46,408
43268,40,65,79,36,49,18,25,45,357
43269,63,90,84,46,46,19,25,46,419
43270,45,47,70,35,36,19,24,47,323
43271,80,54,59,47,44,24,23,47,378
43272,59,63,60,42,44,23,22,47,360
43273,78,93,52,40,47,21,21,41,393
43274,67,48,47,41,39,20,20,36,318
43275,76,68,53,36,48,18,20,48,367
43276,71,94,53,39,35,18,23,44,377
43277,59,69,0,35,41,19,24,45,292
43278,80,84,51,35,43,18,20,45,376
43279,68,77,92,44,37,20,20,45,403
43280,63,49,64,36,46,23,20,46,347
