RollNo,TOC-TH,OS-TH,ML-TH,HCI-TH,DAA,ADBMS,SEMINAR,HCIL-OR,LP-1 TW,LP1-PR,OSL-TW,OSL-PR,Total
33301.0,58.0,86,51,66,62,0,30,42,21,17,21,11,465.0
33302.0,82.0,87,81,82,83,0,32,43,22,20,24,23,579.0
33303.0,79.0,80,80,70,81,0,48,40,20,20,23,23,564.0
33304.0,67.0,61,60,72,70,0,41,41,23,21,23,22,501.0
33305.0,75.0,56,66,74,72,0,45,40,23,20,23,18,512.0
33306.0,83.0,51,58,75,75,0,42,42,19,17,21,19,502.0
33307.0,47.0,58,58,71,0,63,41,40,20,23,21,12,454.0
33308.0,46.0,64,66,90,0,72,39,45,21,15,21,14,493.0
33309.0,50.0,56,53,58,59,0,43,43,18,13,18,11,422.0
33310.0,64.0,64,68,74,87,0,33,38,24,20,24,23,519.0
33311.0,62.0,69,58,80,81,0,48,35,21,19,23,21,517.0
33313.0,0.0,0,0,49,0,44,43,20,16,16,21,10,219.0
33314.0,52.0,48,52,65,66,0,30,43,21,19,21,10,427.0
33315.0,79.0,65,88,73,81,0,31,44,23,17,24,20,545.0
33316.0,63.0,50,64,65,0,63,39,44,20,14,21,17,460.0
33317.0,65.0,70,54,63,70,0,38,44,22,16,23,10,475.0
33318.0,40.0,51,47,58,0,60,47,39,17,13,21,10,403.0
33319.0,56.0,56,66,59,67,0,42,39,22,18,23,20,468.0
33320.0,64.0,66,63,53,60,0,32,39,23,19,23,10,452.0
33321.0,61.0,52,70,61,80,0,43,38,16,18,17,10,466.0
33322.0,65.0,64,81,67,88,0,34,40,20,18,22,20,519.0
33323.0,51.0,52,59,48,75,0,45,39,23,18,24,21,455.0
33324.0,56.0,70,69,68,84,0,41,38,22,18,24,19,509.0
33325.0,64.0,46,46,47,75,0,45,35,20,17,21,20,436.0
33326.0,64.0,65,59,51,0,55,33,20,15,20,21,21,424.0
33327.0,69.0,60,61,69,83,0,29,40,20,20,19,17,487.0
33328.0,71.0,68,65,53,81,0,41,42,21,23,20,19,504.0
33329.0,69.0,71,81,60,78,0,43,43,21,22,21,20,529.0
33330.0,68.0,64,64,65,0,68,38,44,17,20,21,21,490.0
33331.0,64.0,76,69,66,87,0,39,42,21,17,23,21,525.0
33332.0,65.0,61,70,62,79,0,36,40,19,17,21,20,490.0
33333.0,66.0,64,73,83,0,81,37,42,20,18,22,21,527.0
33334.0,0.0,0,0,0,0,0,35,35,12,17,15,19,133.0
33335.0,52.0,52,75,67,80,0,45,42,22,17,22,16,490.0
33336.0,53.0,56,62,57,52,0,43,42,21,21,20,18,445.0
33337.0,63.0,69,68,58,79,0,27,42,22,16,24,20,488.0
33338.0,64.0,68,73,69,0,72,46,43,23,22,24,24,528.0
33339.0,52.0,50,46,57,58,0,48,20,19,20,20,17,407.0
33340.0,79.0,77,65,82,79,0,42,39,24,18,24,19,548.0
33341.0,57.0,70,67,88,80,0,40,28,20,18,21,19,508.0
33342.0,63.0,68,77,82,84,0,48,43,23,19,23,21,551.0
33343.0,57.0,56,63,75,73,0,43,20,20,18,21,11,457.0
33344.0,56.0,66,55,74,69,0,29,20,16,18,19,20,442.0
33345.0,71.0,72,79,82,0,71,38,45,18,21,21,20,538.0
33346.0,81.0,84,87,89,84,0,45,45,23,19,24,18,599.0
33347.0,45.0,50,51,67,0,54,44,37,18,18,21,10,415.0
33348.0,58.0,50,66,77,78,0,37,42,19,20,21,17,485.0
33349.0,75.0,83,81,74,83,0,40,42,24,22,24,21,569.0
33350.0,0.0,0,0,0,0,0,41,20,18,18,20,10,127.0
33351.0,63.0,64,60,67,71,0,20,40,23,18,23,24,473.0
33352.0,73.0,68,73,59,73,0,36,38,22,19,23,22,506.0
33353.0,66.0,65,73,81,78,0,44,40,21,16,21,22,527.0
33354.0,74.0,83,67,75,68,0,37,37,23,21,24,20,529.0
33355.0,48.0,56,51,52,47,0,46,38,17,19,19,20,413.0
