RollNo,ML-TH,BT-TH,DAOA-TH,LP3-TH,LP4-TH,LP4-PR,PS-TW,Total
44201.0,48.0,68.0,91.0,60.0,63.0,32.0,32.0,394
44202.0,51.0,65.0,68.0,64.0,49.0,21.0,29.0,347
44203.0,79.0,85.0,95.0,100.0,97.0,36.0,50.0,542
44204.0,70.0,55.0,95.0,46.0,57.0,31.0,40.0,394
44205.0,85.0,46.0,87.0,49.0,83.0,30.0,46.0,426
44206.0,61.0,74.0,88.0,71.0,95.0,27.0,46.0,462
44207.0,47.0,62.0,82.0,73.0,48.0,50.0,50.0,412
44208.0,83.0,65.0,99.0,84.0,40.0,33.0,35.0,439
44209.0,92.0,99.0,53.0,69.0,56.0,46.0,50.0,465
44210.0,89.0,46.0,52.0,55.0,83.0,44.0,23.0,392
44211.0,60.0,100.0,84.0,50.0,61.0,26.0,32.0,413
44212.0,55.0,90.0,45.0,93.0,42.0,23.0,31.0,379
44213.0,78.0,68.0,96.0,52.0,73.0,26.0,25.0,418
44214.0,77.0,52.0,56.0,57.0,41.0,43.0,25.0,351
44215.0,61.0,40.0,59.0,77.0,90.0,37.0,28.0,392
44216.0,75.0,79.0,71.0,76.0,84.0,30.0,47.0,462
44217.0,40.0,93.0,71.0,61.0,78.0,28.0,45.0,416
44218.0,55.0,96.0,52.0,87.0,72.0,20.0,50.0,432
44219.0,75.0,72.0,57.0,57.0,96.0,20.0,35.0,412
44220.0,44.0,45.0,71.0,62.0,58.0,39.0,44.0,363
44221.0,79.0,81.0,87.0,94.0,46.0,37.0,29.0,453
44222.0,73.0,62.0,83.0,59.0,50.0,23.0,31.0,381
44223.0,92.0,42.0,83.0,87.0,66.0,48.0,24.0,442
44224.0,67.0,50.0,70.0,49.0,78.0,46.0,21.0,381
44225.0,91.0,78.0,69.0,82.0,93.0,34.0,27.0,474
44226.0,42.0,52.0,42.0,54.0,90.0,22.0,38.0,340
44227.0,69.0,61.0,83.0,89.0,43.0,43.0,39.0,427
