RollNo,DM-TH,LDCO-TH,DSA-TH,BCN-TH,LDCOL-TW,LDCOL-PR,DSAL-TW,DSAL-PR,OOP-TW,OOP-PR,DM-TW,SSL-TW,Total
22101,62,67,51,77,22,15,20,17,23,19,20,22,415
22102,88,45,73,55,19,19,20,13,20,24,23,22,421
22103,80,75,56,48,20,18,23,12,24,22,22,20,420
22104,50,47,75,51,18,11,23,20,24,24,22,21,386
22105,47,65,92,70,22,12,22,16,22,19,23,24,434
22106,48,74,53,73,19,13,23,20,21,20,23,20,407
22107,90,60,59,80,19,20,19,18,20,23,22,22,452
22108,54,81,55,77,20,12,22,15,22,24,21,23,426
22109,58,54,90,53,19,10,23,16,22,23,23,21,412
22110,90,47,54,74,22,15,22,17,21,19,22,23,426
22111,0,68,57,59,20,10,19,16,23,20,23,23,338
22112,62,65,78,66,22,22,18,20,24,20,23,20,440
22113,73,50,55,47,21,19,20,16,24,24,21,24,394
22114,65,79,71,55,19,0,22,17,24,23,23,20,418
22115,89,60,56,54,22,22,21,15,24,18,20,22,423
22116,50,77,53,46,24,23,18,12,22,20,22,22,389
22117,76,78,80,52,21,16,18,16,23,19,21,20,440
22118,61,78,65,81,22,14,22,18,22,19,20,20,442
22119,62,63,68,73,20,18,21,13,24,19,20,21,422
22120,57,76,68,78,22,16,24,0,20,23,21,20,425
22121,86,56,92,70,20,15,18,19,23,23,22,22,466
22122,45,78,56,85,22,17,23,15,23,22,21,20,427
22123,66,64,81,47,19,12,18,13,21,21,20,20,402
22124,71,62,52,46,19,16,20,12,20,21,20,22,381
22125,68,63,92,64,23,15,23,12,24,21,23,24,452
22126,79,48,70,66,21,18,22,13,20,21,23,20,421
22127,64,75,60,81,23,22,24,18,24,20,20,21,452
22128,89,61,71,54,24,18,20,20,20,23,20,24,444
22129,45,59,82,62,19,12,18,14,24,23,21,21,400
22130,73,66,70,62,24,11,20,15,20,23,22,23,429
22131,76,80,75,81,22,15,18,19,22,20,23,21,472
22132,45,59,67,79,23,17,20,14,21,24,23,23,415
22133,87,60,90,81,18,16,21,16,21,22,22,23,477
22134,69,46,65,57,23,11,24,19,23,24,21,24,406
22135,86,63,75,80,21,18,19,0,24,19,20,22,447
22136,77,84,85,79,24,22,23,18,23,18,20,23,496
22137,87,77,82,63,24,10,23,14,20,18,22,24,464
22138,59,56,68,83,24,23,22,18,24,22,22,20,441
22139,85,50,83,62,23,19,19,19,21,21,21,23,446
22140,66,48,56,57,22,11,23,17,24,21,22,23,390
22141,86,80,77,64,23,12,18,18,20,20,22,22,462
22142,75,48,80,79,21,11,21,13,23,18,21,20,430
22143,66,52,81,70,20,12,23,14,20,24,22,23,427
22144,0,70,79,50,21,23,18,19,24,22,21,24,371
22145,45,64,89,77,22,12,20,19,24,21,22,20,435
22146,55,50,90,54,19,15,24,13,20,18,23,23,404
22147,45,77,83,76,19,12,18,14,23,18,20,22,427
22148,66,60,88,47,20,10,22,16,20,18,22,22,411
22149,52,60,84,80,22,20,20,14,23,22,23,22,442
22150,75,57,64,53,23,19,21,17,22,19,21,24,415
22151,75,67,72,70,24,21,18,12,22,24,20,20,445
22152,58,60,53,69,21,22,19,15,20,24,20,21,402
22153,76,61,54,61,21,12,19,19,23,20,23,21,410
22154,53,75,72,77,23,22,24,18,20,21,22,21,448
22155,81,53,65,85,19,12,21,18,20,21,21,24,440
22156,82,79,55,0,20,23,18,0,22,19,22,20,360
22157,54,64,80,59,23,15,20,13,21,21,22,20,412
22158,77,48,68,60,19,12,21,13,24,21,23,21,407
22159,88,62,58,54,19,14,23,13,22,23,21,21,418
22160,59,75,67,59,22,16,20,15,21,21,22,22,419
22161,63,72,60,69,22,17,20,20,20,18,23,21,425
22162,79,80,62,76,24,21,18,17,22,18,22,22,461
22163,52,59,90,64,23,11,23,19,22,22,20,23,428
22164,47,0,85,65,23,14,18,20,21,23,20,21,357
22165,88,75,82,59,21,10,20,12,24,21,23,23,458
22166,76,73,55,48,19,16,22,16,23,20,23,23,414
22167,49,72,71,65,21,17,18,14,22,24,22,21,416
22168,54,74,51,48,19,23,18,14,24,18,21,24,388
22169,71,63,66,59,23,20,18,15,24,23,20,20,422
22170,56,51,65,68,24,18,22,15,21,20,21,23,404
22171,86,50,60,75,22,16,20,19,23,20,22,23,436
22172,47,49,79,61,22,20,22,19,20,21,20,20,400
22173,55,52,74,46,24,22,19,20,21,21,20,24,398
22174,86,77,51,49,18,14,23,15,21,21,20,22,417
