RollNo,TOC-TH,OS-TH,ML-TH,HCI-TH,DAA-TH,ADBMS-TH,SEMINAR,HCIL-OR,LP1- TW,LP1-PR,OSL-TW,OSL-PR,Total
33301,58,86,51,66,62,0,30,42,21,17,21,11,465
33302,82,87,81,82,83,0,32,43,22,20,24,23,579
33303,79,80,80,70,81,0,48,40,20,20,23,23,564
33304,67,61,60,72,70,0,41,41,23,21,23,22,501
33305,75,56,66,74,72,0,45,40,23,20,23,18,512
33306,83,51,58,75,75,0,42,42,19,17,21,19,502
33307,47,58,58,71,0,63,41,40,20,23,21,12,454
33308,46,64,66,90,0,72,39,45,21,15,21,14,493
33309,50,56,53,58,59,0,43,43,18,13,18,11,422
33310,64,64,68,74,87,0,33,38,24,20,24,23,519
33311,62,69,58,80,81,0,48,35,21,19,23,21,517
33313,0,0,0,49,0,44,43,20,16,16,21,10,219
33314,52,48,52,65,66,0,30,43,21,19,21,10,427
33315,79,65,88,73,81,0,31,44,23,17,24,20,545
33316,63,50,64,65,0,63,39,44,20,14,21,17,460
33317,65,70,54,63,70,0,38,44,22,16,23,10,475
33318,40,51,47,58,0,60,47,39,17,13,21,10,403
33319,56,56,66,59,67,0,42,39,22,18,23,20,468
33320,64,66,63,53,60,0,32,39,23,19,23,10,452
33321,61,52,70,61,80,0,43,38,16,18,17,10,466
33322,65,64,81,67,88,0,34,40,20,18,22,20,519
33323,51,52,59,48,75,0,45,39,23,18,24,21,455
33324,56,70,69,68,84,0,41,38,22,18,24,19,509
33325,64,46,46,47,75,0,45,35,20,17,21,20,436
33326,64,65,59,51,0,55,33,20,15,20,21,21,424
33327,69,60,61,69,83,0,29,40,20,20,19,17,487
33328,71,68,65,53,81,0,41,42,21,23,20,19,504
33329,69,71,81,60,78,0,43,43,21,22,21,20,529
33330,68,64,64,65,0,68,38,44,17,20,21,21,490
33331,64,76,69,66,87,0,39,42,21,17,23,21,525
33332,65,61,70,62,79,0,36,40,19,17,21,20,490
33333,66,64,73,83,0,81,37,42,20,18,22,21,527
33334,0,0,0,0,0,0,35,35,12,17,15,19,133
33335,52,52,75,67,80,0,45,42,22,17,22,16,490
33336,53,56,62,57,52,0,43,42,21,21,20,18,445
33337,63,69,68,58,79,0,27,42,22,16,24,20,488
33338,64,68,73,69,0,72,46,43,23,22,24,24,528
33339,52,50,46,57,58,0,48,20,19,20,20,17,407
33340,79,77,65,82,79,0,42,39,24,18,24,19,548
33341,57,70,67,88,80,0,40,28,20,18,21,19,508
33342,63,68,77,82,84,0,48,43,23,19,23,21,551
33343,57,56,63,75,73,0,43,20,20,18,21,11,457
33344,56,66,55,74,69,0,29,20,16,18,19,20,442
33345,71,72,79,82,0,71,38,45,18,21,21,20,538
33346,81,84,87,89,84,0,45,45,23,19,24,18,599
33347,45,50,51,67,0,54,44,37,18,18,21,10,415
33348,58,50,66,77,78,0,37,42,19,20,21,17,485
33349,75,83,81,74,83,0,40,42,24,22,24,21,569
33350,0,0,0,0,0,0,41,20,18,18,20,10,127
33351,63,64,60,67,71,0,20,40,23,18,23,24,473
33352,73,68,73,59,73,0,36,38,22,19,23,22,506
33353,66,65,73,81,78,0,44,40,21,16,21,22,527
33354,74,83,67,75,68,0,37,37,23,21,24,20,529
33355,48,56,51,52,47,0,46,38,17,19,19,20,413
33356,75,76,73,77,76,0,34,42,21,23,21,24,542
33357,66,45,76,81,81,0,45,43,24,19,24,21,525
33358,40,73,54,68,0,65,47,40,17,18,20,20,462
33359,75,87,86,80,81,0,31,40,23,18,21,21,563
33360,75,66,76,77,78,0,41,40,23,17,21,22,536
33361,66,73,60,61,52,0,37,28,19,20,20,20,456
33362,70,68,69,76,70,0,28,35,17,18,20,19,490
33363,70,75,64,69,78,0,35,38,23,19,22,21,514
33364,63,72,73,73,0,59,43,42,20,13,22,10,490
33365,63,78,72,68,70,0,40,39,22,21,22,20,515
33366,80,78,74,73,71,0,42,38,21,14,22,12,525
33367,79,82,67,67,61,0,34,35,23,19,22,22,511
33368,78,63,67,76,76,0,42,40,23,19,22,18,524
33369,59,54,63,74,62,0,42,42,16,21,22,17,472
33370,65,57,53,54,77,0,43,42,20,18,22,21,472
33371,56,45,53,69,73,0,40,43,23,14,23,13,452
33372,46,75,50,48,62,0,45,43,15,21,18,18,441
33373,65,69,76,79,77,0,35,44,23,20,24,22,534
33374,58,54,71,69,70,0,47,42,23,18,20,20,492
33375,71,81,59,50,0,48,44,43,15,18,20,18,467
33376,74,44,74,80,77,0,36,45,18,17,19,17,501
33377,54,56,57,70,62,0,41,42,22,14,22,10,450
33378,60,73,49,63,68,0,41,43,20,19,22,19,477
33379,79,63,56,72,78,0,36,40,23,18,21,10,496
33380,56,62,46,61,71,0,48,42,22,14,22,11,455
33381,73,52,64,73,76,0,43,40,18,15,21,18,493
33382,58,42,61,54,63,0,39,38,21,18,20,18,432
33383,0,0,0,43,0,0,0,0,0,0,0,0,43
